n,r,m
(:Object {name: 房屋}),[:HAS_MATERIAL],(:Material {name: 砖瓦木结构})
(:Object {name: 房屋}),[:HAS_PROPERTY],(:Property {name: 古典园林风格})
(:Object {name: 花篮}),[:HAS_MATERIAL],(:Material {name: 竹编})
(:Object {name: 花篮}),[:HAS_PROPERTY],(:Property {name: 装有鲜花})
(:Object {name: 小狗}),[:HAS_PROPERTY],(:Property {name: 活泼可爱})
(:Artwork {name: 《闹学顽戏》}),[:HAS_THEME],(:Theme {name: 学堂生活})
(:Artwork {name: 《闹学顽戏》}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 暖色系})
(:Artwork {name: 《闹学顽戏》}),[:USES_COMPOSITION],(:Composition {name: 对称布局，中心突出})
(:Artwork {name: 《闹学顽戏》}),[:DEPICTS],(:Figure {name: 老师})
(:Artwork {name: 《闹学顽戏》}),[:DEPICTS],(:Figure {name: 学生})
(:Artwork {name: 《闹学顽戏》}),[:CONTAINS],(:Object {name: 书桌})
(:Artwork {name: 《闹学顽戏》}),[:CONTAINS],(:Object {name: 椅子})
(:Artwork {name: 《闹学顽戏》}),[:CONTAINS],(:Object {name: 书籍})
(:Artwork {name: 《闹学顽戏》}),[:CONTAINS],(:Object {name: 乐器})
(:Artwork {name: 《闹学顽戏》}),[:CONTAINS],(:Object {name: 花瓶})
(:Figure {name: 老师}),[:IS_A],(:FigureAttribute {name: 成年人})
(:Figure {name: 老师}),[:HAS_FEATURE],(:Feature {name: 严肃表情})
(:Figure {name: 老师}),[:WEARS],(:Costume {name: 长袍})
(:Figure {name: 老师}),[:HAS_POSE],(:Pose {name: 坐着})
(:Figure {name: 学生}),[:IS_A],(:FigureAttribute {name: 儿童})
(:Figure {name: 学生}),[:HAS_FEATURE],(:Feature {name: 活泼可爱})
(:Figure {name: 学生}),[:WEARS],(:Costume {name: 短衫裤})
(:Figure {name: 学生}),[:HAS_POSE],(:Pose {name: 各种活动姿态})
(:Figure {name: 学生}),[:HOLDS],(:Object {name: 书籍})
(:Figure {name: 学生}),[:HOLDS],(:Object {name: 乐器})
(:Object {name: 书桌}),[:HAS_MATERIAL],(:Material {name: 木质})
(:Object {name: 书桌}),[:HAS_PROPERTY],(:Property {name: 古朴})
(:Object {name: 椅子}),[:HAS_PROPERTY],(:Property {name: 古典})
(:Object {name: 书籍}),[:HAS_MATERIAL],(:Material {name: 纸质})
(:Object {name: 书籍}),[:HAS_PROPERTY],(:Property {name: 整齐排列})
(:Object {name: 乐器}),[:HAS_MATERIAL],(:Material {name: 木质或金属})
(:Object {name: 乐器}),[:HAS_PROPERTY],(:Property {name: 多样})
(:Object {name: 花瓶}),[:HAS_PROPERTY],(:Property {name: 精美})
(:Artwork {name: 《宝莲灯》}),[:HAS_THEME],(:Theme {name: 宝莲灯传说})
(:Artwork {name: 《宝莲灯》}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 红、蓝、绿})
(:Artwork {name: 《宝莲灯》}),[:USES_COMPOSITION],(:Composition {name: 中央对称，人物环绕中心人物})
(:Artwork {name: 《宝莲灯》}),[:DEPICTS],(:Figure {name: 另一个小孩})
(:Artwork {name: 《宝莲灯》}),[:CONTAINS],(:Object {name: 椅子})
(:Artwork {name: 《宝莲灯》}),[:CONTAINS],(:Object {name: 扇子})
(:Figure {name: 刘彦昌}),[:IS_A],(:FigureAttribute {name: 男性，长辈})
(:Figure {name: 刘彦昌}),[:HAS_FEATURE],(:Feature {name: 长须，严肃表情})
(:Figure {name: 刘彦昌}),[:WEARS],(:Costume {name: 蓝色长袍，橙色裙子})
(:Figure {name: 刘彦昌}),[:HAS_POSE],(:Pose {name: 坐在椅子上，手抚胡须})
(:Figure {name: 沉香}),[:IS_A],(:FigureAttribute {name: 男性，少年})
(:Figure {name: 沉香}),[:HAS_FEATURE],(:Feature {name: 光头，活泼表情})
(:Figure {name: 沉香}),[:WEARS],(:Costume {name: 绿色上衣，黄色围裙，蓝色裤子})
(:Figure {name: 沉香}),[:HAS_POSE],(:Pose {name: 站立，手指向上})
(:Figure {name: 三圣母}),[:IS_A],(:FigureAttribute {name: 女性，年轻})
(:Figure {name: 三圣母}),[:HAS_FEATURE],(:Feature {name: 黑发，温柔表情})
(:Figure {name: 三圣母}),[:WEARS],(:Costume {name: 黑色外套，白色内衬，白色裙子})
(:Figure {name: 三圣母}),[:HAS_POSE],(:Pose {name: 站立，手持扇子})
(:Figure {name: 另一个小孩}),[:IS_A],(:FigureAttribute {name: 男性，少年})
(:Figure {name: 另一个小孩}),[:HAS_FEATURE],(:Feature {name: 光头，开心表情})
(:Figure {name: 另一个小孩}),[:WEARS],(:Costume {name: 红色上衣，绿色裤子})
(:Figure {name: 另一个小孩}),[:HAS_POSE],(:Pose {name: 站立，手指向上})
(:Object {name: 椅子}),[:HAS_PROPERTY],(:Property {name: 传统中式设计})
(:Object {name: 扇子}),[:HAS_MATERIAL],(:Material {name: 竹制骨架，布面})
(:Object {name: 扇子}),[:HAS_PROPERTY],(:Property {name: 展开状态})
(:Figure {name: 三圣母}),[:HOLDS],(:Object {name: 扇子})
(:Artwork {name: 《三岔口》}),[:HAS_THEME],(:Theme {name: 京剧场景})
(:Artwork {name: 《三岔口》}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 蓝、红、黑})
(:Artwork {name: 《三岔口》}),[:USES_COMPOSITION],(:Composition {name: 三角形布局})
(:Artwork {name: 《三岔口》}),[:DEPICTS],(:Figure {name: 武生A})
(:Artwork {name: 《三岔口》}),[:DEPICTS],(:Figure {name: 武生B})
(:Artwork {name: 《三岔口》}),[:DEPICTS],(:Figure {name: 武生C})
(:Artwork {name: 《三岔口》}),[:CONTAINS],(:Object {name: 桌子})
(:Figure {name: 武生A}),[:IS_A],(:FigureAttribute {name: 男性})
(:Figure {name: 武生A}),[:HAS_FEATURE],(:Feature {name: 戴头巾，浓眉大眼})
(:Figure {name: 武生A}),[:WEARS],(:Costume {name: 灰色长袍，白色裤子，黑色鞋子})
(:Figure {name: 武生A}),[:HAS_POSE],(:Pose {name: 右腿弯曲，左腿伸直，右手高举，左手握拳})
(:Figure {name: 武生B}),[:IS_A],(:FigureAttribute {name: 男性})
(:Figure {name: 武生B}),[:HAS_FEATURE],(:Feature {name: 戴花冠，面部有戏剧妆容})
(:Figure {name: 武生B}),[:WEARS],(:Costume {name: 蓝色戏服，黄色腰带，紫色裤子，红色靴子})
(:Figure {name: 武生B}),[:HAS_POSE],(:Pose {name: 右腿抬起，左腿站立，双手张开})
(:Figure {name: 武生C}),[:IS_A],(:FigureAttribute {name: 男性})
(:Figure {name: 武生C}),[:HAS_FEATURE],(:Feature {name: 戴黑色帽子，面部有戏剧妆容})
(:Figure {name: 武生C}),[:WEARS],(:Costume {name: 黑色戏服，红色裤子，白色鞋子})
(:Figure {name: 武生C}),[:HAS_POSE],(:Pose {name: 蹲姿，双手交叉于胸前})
(:Object {name: 桌子}),[:HAS_PROPERTY],(:Property {name: 方形，覆盖红色桌布})
(:Artwork {name: 《盗仙草》}),[:HAS_THEME],(:Theme {name: 戏曲故事})
(:Artwork {name: 《盗仙草》}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 红、蓝、白、紫})
(:Artwork {name: 《盗仙草》}),[:USES_COMPOSITION],(:Composition {name: 左右分隔，左侧为动态形象，右侧为静态形象})
(:Artwork {name: 《盗仙草》}),[:DEPICTS],(:Figure {name: 孙悟空})
(:Artwork {name: 《盗仙草》}),[:DEPICTS],(:Figure {name: 女性角色1})
(:Artwork {name: 《盗仙草》}),[:DEPICTS],(:Figure {name: 女性角色2})
(:Artwork {name: 《盗仙草》}),[:CONTAINS],(:Object {name: 金箍棒})
(:Artwork {name: 《盗仙草》}),[:CONTAINS],(:Object {name: 宝剑1})
(:Artwork {name: 《盗仙草》}),[:CONTAINS],(:Object {name: 宝剑2})
(:Figure {name: 孙悟空}),[:IS_A],(:FigureAttribute {name: 神话人物})
(:Figure {name: 孙悟空}),[:HAS_FEATURE],(:Feature {name: 猴脸、火眼金睛})
(:Figure {name: 孙悟空}),[:WEARS],(:Costume {name: 红色上衣、黄色腰带、白色裤子})
(:Figure {name: 孙悟空}),[:HAS_POSE],(:Pose {name: 腾云驾雾，手持金箍棒})
(:Figure {name: 孙悟空}),[:HOLDS],(:Object {name: 金箍棒})
(:Figure {name: 女性角色1}),[:IS_A],(:FigureAttribute {name: 古代女性})
(:Figure {name: 女性角色1}),[:HAS_FEATURE],(:Feature {name: 头戴华丽头饰，面带微笑})
(:Figure {name: 女性角色1}),[:WEARS],(:Costume {name: 紫色上衣、蓝色裙子，腰间佩有装饰})
(:Figure {name: 女性角色1}),[:HAS_POSE],(:Pose {name: 站立，手握宝剑})
(:Figure {name: 女性角色1}),[:HOLDS],(:Object {name: 宝剑1})
(:Figure {name: 女性角色2}),[:IS_A],(:FigureAttribute {name: 古代女性})
(:Figure {name: 女性角色2}),[:HAS_FEATURE],(:Feature {name: 头戴华丽头饰，表情温柔})
(:Figure {name: 女性角色2}),[:WEARS],(:Costume {name: 白色上衣、粉色裙子，腰间佩有装饰})
(:Figure {name: 女性角色2}),[:HAS_POSE],(:Pose {name: 站立，手握宝剑})
(:Figure {name: 女性角色2}),[:HOLDS],(:Object {name: 宝剑2})
(:Object {name: 金箍棒}),[:HAS_MATERIAL],(:Material {name: 金属})
(:Object {name: 金箍棒}),[:HAS_PROPERTY],(:Property {name: 可变大变小})
(:Object {name: 宝剑1}),[:HAS_MATERIAL],(:Material {name: 金属})
(:Object {name: 宝剑1}),[:HAS_PROPERTY],(:Property {name: 锋利})
(:Object {name: 宝剑2}),[:HAS_MATERIAL],(:Material {name: 金属})
(:Object {name: 宝剑2}),[:HAS_PROPERTY],(:Property {name: 锋利})
(:Artwork {name: 《长命百岁》}),[:HAS_THEME],(:Theme {name: 长命百岁})
(:Artwork {name: 《长命百岁》}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 暖色系（红色、黄色为主）})
(:Artwork {name: 《长命百岁》}),[:USES_COMPOSITION],(:Composition {name: 斜向布局，人物居右，器物居左})
(:Artwork {name: 《长命百岁》}),[:DEPICTS],(:Figure {name: 胖娃娃})
(:Artwork {name: 《长命百岁》}),[:CONTAINS],(:Object {name: 果盘})
(:Figure {name: 胖娃娃}),[:HAS_FEATURE],(:Feature {name: 圆脸、笑容满面、双辫子})
(:Figure {name: 胖娃娃}),[:WEARS],(:Costume {name: 红色背心、蓝色裤子、黑色鞋子})
(:Figure {name: 胖娃娃}),[:HAS_POSE],(:Pose {name: 侧身而坐，手扶膝盖，目光向前})
(:Object {name: 果盘}),[:HAS_MATERIAL],(:Material {name: 陶瓷})
(:Object {name: 果盘}),[:HAS_PROPERTY],(:Property {name: 圆形，内盛多种水果和糕点})
(:Figure {name: 胖娃娃}),[:HOLDS],(:Object {name: 果盘})
(:Artwork {name: 《女子爱国》}),[:HAS_THEME],(:Theme {name: 闺女爱国})
(:Artwork {name: 《女子爱国》}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 黑白})
(:Artwork {name: 《女子爱国》}),[:USES_COMPOSITION],(:Composition {name: 三人围坐桌旁})
(:Artwork {name: 《女子爱国》}),[:DEPICTS],(:Figure {name: 蔡庆基})
(:Artwork {name: 《女子爱国》}),[:DEPICTS],(:Figure {name: 卞太太})
(:Artwork {name: 《女子爱国》}),[:CONTAINS],(:Object {name: 桌子})
(:Artwork {name: 《女子爱国》}),[:CONTAINS],(:Object {name: 椅子})
(:Figure {name: 蔡庆基}),[:IS_A],(:FigureAttribute {name: 女性})
(:Figure {name: 蔡庆基}),[:HAS_FEATURE],(:Feature {name: 头戴花饰，长发垂肩})
(:Figure {name: 蔡庆基}),[:WEARS],(:Costume {name: 传统长袍})
(:Figure {name: 蔡庆基}),[:HAS_POSE],(:Pose {name: 端坐椅上，双手交叠置于膝上})
(:Figure {name: 卞太太}),[:IS_A],(:FigureAttribute {name: 女性})
(:Figure {name: 卞太太}),[:HAS_FEATURE],(:Feature {name: 头戴发簪，面带微笑})
(:Figure {name: 卞太太}),[:WEARS],(:Costume {name: 传统长袍})
(:Figure {name: 卞太太}),[:HAS_POSE],(:Pose {name: 端坐椅上，手扶椅背})
(:Figure {name: 卞良法}),[:IS_A],(:FigureAttribute {name: 男性})
(:Figure {name: 卞良法}),[:HAS_FEATURE],(:Feature {name: 头戴帽子，胡须明显})
(:Figure {name: 卞良法}),[:WEARS],(:Costume {name: 传统长袍})
(:Figure {name: 卞良法}),[:HAS_POSE],(:Pose {name: 端坐椅上，手抚胸前})
(:Object {name: 桌子}),[:HAS_PROPERTY],(:Property {name: 长方形，上有桌布})
(:Object {name: 椅子}),[:HAS_PROPERTY],(:Property {name: 木质结构，配有靠背})
(:Artwork {name: 《猴拉马》}),[:HAS_THEME],(:Theme {name: 山水田园})
(:Artwork {name: 《猴拉马》}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 淡雅色彩})
(:Artwork {name: 《猴拉马》}),[:USES_COMPOSITION],(:Composition {name: 远近结合，动静相宜})
(:Artwork {name: 《猴拉马》}),[:DEPICTS],(:Figure {name: 猴子})
(:Artwork {name: 《猴拉马》}),[:CONTAINS],(:Object {name: 柳树})
(:Artwork {name: 《猴拉马》}),[:CONTAINS],(:Object {name: 栏杆})
(:Figure {name: 猴子}),[:IS_A],(:FigureAttribute {name: 动物})
(:Figure {name: 猴子}),[:HAS_FEATURE],(:Feature {name: 毛发浓密，表情生动})
(:Figure {name: 猴子}),[:WEARS],(:Costume {name: 未识别到})
(:Figure {name: 猴子}),[:HAS_POSE],(:Pose {name: 攀爬树枝})
(:Figure {name: 白马}),[:IS_A],(:FigureAttribute {name: 动物})
(:Figure {name: 白马}),[:HAS_FEATURE],(:Feature {name: 毛色洁白，体态健硕})
(:Figure {name: 白马}),[:WEARS],(:Costume {name: 佩戴缰绳})
(:Figure {name: 白马}),[:HAS_POSE],(:Pose {name: 奔跑})
(:Object {name: 柳树}),[:HAS_MATERIAL],(:Material {name: 木质})
(:Object {name: 柳树}),[:HAS_PROPERTY],(:Property {name: 枝条柔软，随风摇曳})
(:Object {name: 栏杆}),[:HAS_MATERIAL],(:Material {name: 木质})
(:Object {name: 栏杆}),[:HAS_PROPERTY],(:Property {name: 结构简单，用于围栏})
(:Artwork {name: 《北京百姓抢当铺》}),[:HAS_THEME],(:Theme {name: 街市生活})
(:Artwork {name: 《北京百姓抢当铺》}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 多彩})
(:Artwork {name: 《北京百姓抢当铺》}),[:USES_COMPOSITION],(:Composition {name: 横向展开，人物密集})
(:Artwork {name: 《北京百姓抢当铺》}),[:DEPICTS],(:Figure {name: 商人})
(:Artwork {name: 《北京百姓抢当铺》}),[:DEPICTS],(:Figure {name: 顾客})
(:Artwork {name: 《北京百姓抢当铺》}),[:DEPICTS],(:Figure {name: 孩童})
(:Artwork {name: 《北京百姓抢当铺》}),[:CONTAINS],(:Object {name: 货摊})
(:Artwork {name: 《北京百姓抢当铺》}),[:CONTAINS],(:Object {name: 货物})
(:Artwork {name: 《北京百姓抢当铺》}),[:CONTAINS],(:Object {name: 建筑})
(:Figure {name: 商人}),[:IS_A],(:FigureAttribute {name: 贩卖商品的人})
(:Figure {name: 商人}),[:HAS_FEATURE],(:Feature {name: 忙碌、面带微笑})
(:Figure {name: 商人}),[:WEARS],(:Costume {name: 传统商贩服装})
(:Figure {name: 商人}),[:HAS_POSE],(:Pose {name: 站立或弯腰整理货物})
(:Figure {name: 顾客}),[:IS_A],(:FigureAttribute {name: 购买商品的人})
(:Figure {name: 顾客}),[:HAS_FEATURE],(:Feature {name: 各异的表情和动作})
(:Figure {name: 顾客}),[:WEARS],(:Costume {name: 各式传统服饰})
(:Figure {name: 顾客}),[:HAS_POSE],(:Pose {name: 行走、挑选商品})
(:Figure {name: 孩童}),[:IS_A],(:FigureAttribute {name: 玩耍的小孩})
(:Figure {name: 孩童}),[:WEARS],(:Costume {name: 儿童传统服饰})
(:Figure {name: 孩童}),[:HAS_POSE],(:Pose {name: 奔跑、嬉戏})
(:Object {name: 货摊}),[:HAS_MATERIAL],(:Material {name: 木质})
(:Object {name: 货摊}),[:HAS_PROPERTY],(:Property {name: 摆放整齐})
(:Object {name: 货物}),[:HAS_MATERIAL],(:Material {name: 多样（布料、食品等）})
(:Object {name: 货物}),[:HAS_PROPERTY],(:Property {name: 琳琅满目})
(:Object {name: 建筑}),[:HAS_MATERIAL],(:Material {name: 砖瓦})
(:Object {name: 建筑}),[:HAS_PROPERTY],(:Property {name: 传统中式风格})
(:Figure {name: 商人}),[:HOLDS],(:Object {name: 货物})
(:Figure {name: 顾客}),[:HOLDS],(:Object {name: 购买的物品})
(:Artwork {name: 《天津图》}),[:HAS_THEME],(:Theme {name: 城市风光与人物活动})
(:Artwork {name: 《天津图》}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 蓝白相间})
(:Artwork {name: 《天津图》}),[:USES_COMPOSITION],(:Composition {name: 全景式布局，上部为城市建筑，下部为人物活动})
(:Artwork {name: 《天津图》}),[:DEPICTS],(:Figure {name: 骑马人物1})
(:Artwork {name: 《天津图》}),[:DEPICTS],(:Figure {name: 骑马人物2})
(:Artwork {name: 《天津图》}),[:DEPICTS],(:Figure {name: 骑马人物3})
(:Artwork {name: 《天津图》}),[:DEPICTS],(:Figure {name: 步行人物})
(:Artwork {name: 《天津图》}),[:CONTAINS],(:Object {name: 房屋})
(:Artwork {name: 《天津图》}),[:CONTAINS],(:Object {name: 桥梁})
(:Artwork {name: 《天津图》}),[:CONTAINS],(:Object {name: 船只})
(:Figure {name: 骑马人物1}),[:IS_A],(:FigureAttribute {name: 男性})
(:Figure {name: 骑马人物1}),[:HAS_FEATURE],(:Feature {name: 头戴帽子，手持缰绳})
(:Figure {name: 骑马人物1}),[:WEARS],(:Costume {name: 传统长袍})
(:Figure {name: 骑马人物1}),[:HAS_POSE],(:Pose {name: 骑在马上，向前行进})
(:Figure {name: 骑马人物2}),[:IS_A],(:FigureAttribute {name: 男性})
(:Figure {name: 骑马人物2}),[:HAS_FEATURE],(:Feature {name: 头戴帽子，手持缰绳})
(:Figure {name: 骑马人物2}),[:WEARS],(:Costume {name: 传统长袍})
(:Figure {name: 骑马人物2}),[:HAS_POSE],(:Pose {name: 骑在马上，向前行进})
(:Figure {name: 骑马人物3}),[:IS_A],(:FigureAttribute {name: 男性})
(:Figure {name: 骑马人物3}),[:HAS_FEATURE],(:Feature {name: 头戴帽子，手持缰绳})
(:Figure {name: 骑马人物3}),[:WEARS],(:Costume {name: 传统长袍})
(:Figure {name: 骑马人物3}),[:HAS_POSE],(:Pose {name: 骑在马上，向前行进})
(:Figure {name: 步行人物}),[:IS_A],(:FigureAttribute {name: 男性})
(:Figure {name: 步行人物}),[:HAS_FEATURE],(:Feature {name: 手持物品，行走姿态})
(:Figure {name: 步行人物}),[:WEARS],(:Costume {name: 传统服饰})
(:Figure {name: 步行人物}),[:HAS_POSE],(:Pose {name: 步行，手持物品})
(:Object {name: 房屋}),[:HAS_MATERIAL],(:Material {name: 砖瓦结构})
(:Object {name: 房屋}),[:HAS_PROPERTY],(:Property {name: 传统中式建筑风格})
(:Object {name: 桥梁}),[:HAS_MATERIAL],(:Material {name: 石质})
(:Object {name: 桥梁}),[:HAS_PROPERTY],(:Property {name: 横跨水面，连接两岸})
(:Object {name: 船只}),[:HAS_MATERIAL],(:Material {name: 木质})
(:Object {name: 船只}),[:HAS_PROPERTY],(:Property {name: 帆船，航行于水面})
(:Artwork {name: 《灶王爷》}),[:HAS_THEME],(:Theme {name: 家庭和睦与祭祀})
(:Artwork {name: 《灶王爷》}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 红、绿、黄、蓝、黑})
(:Artwork {name: 《灶王爷》}),[:USES_COMPOSITION],(:Composition {name: 对称布局，中央为夫妇二人，两侧为侍从和器物})
(:Artwork {name: 《灶王爷》}),[:DEPICTS],(:Figure {name: 男性形象})
(:Artwork {name: 《灶王爷》}),[:DEPICTS],(:Figure {name: 女性形象})
(:Artwork {name: 《灶王爷》}),[:DEPICTS],(:Figure {name: 左侧侍从})
(:Artwork {name: 《灶王爷》}),[:DEPICTS],(:Figure {name: 右侧侍从})
(:Artwork {name: 《灶王爷》}),[:CONTAINS],(:Object {name: 香炉})
(:Artwork {name: 《灶王爷》}),[:CONTAINS],(:Object {name: 供桌})
(:Figure {name: 男性形象}),[:IS_A],(:FigureAttribute {name: 丈夫})
(:Figure {name: 男性形象}),[:HAS_FEATURE],(:Feature {name: 面带胡须，表情庄重})
(:Figure {name: 男性形象}),[:WEARS],(:Costume {name: 传统长袍，颜色鲜艳})
(:Figure {name: 男性形象}),[:HAS_POSE],(:Pose {name: 端坐，双手放在膝上})
(:Figure {name: 女性形象}),[:IS_A],(:FigureAttribute {name: 妻子})
(:Figure {name: 女性形象}),[:HAS_FEATURE],(:Feature {name: 面容姣好，表情温和})
(:Figure {name: 女性形象}),[:WEARS],(:Costume {name: 传统服饰，色彩丰富})
(:Figure {name: 女性形象}),[:HAS_POSE],(:Pose {name: 端坐，姿态优雅})
(:Figure {name: 左侧侍从}),[:IS_A],(:FigureAttribute {name: 仆人})
(:Figure {name: 左侧侍从}),[:HAS_FEATURE],(:Feature {name: 年轻，表情专注})
(:Figure {name: 左侧侍从}),[:WEARS],(:Costume {name: 简单衣物})
(:Figure {name: 左侧侍从}),[:HAS_POSE],(:Pose {name: 站立，手持物品})
(:Figure {name: 右侧侍从}),[:IS_A],(:FigureAttribute {name: 仆人})
(:Figure {name: 右侧侍从}),[:HAS_FEATURE],(:Feature {name: 年轻，表情专注})
(:Figure {name: 右侧侍从}),[:WEARS],(:Costume {name: 简单衣物})
(:Figure {name: 右侧侍从}),[:HAS_POSE],(:Pose {name: 站立，手持物品})
(:Object {name: 香炉}),[:HAS_PROPERTY],(:Property {name: 用于焚香，造型精美})
(:Object {name: 供桌}),[:HAS_MATERIAL],(:Material {name: 木质})
(:Object {name: 供桌}),[:HAS_PROPERTY],(:Property {name: 摆放祭品，雕刻花纹})
(:Artwork {name: 《寿比南山》}),[:HAS_THEME],(:Theme {name: 寿比南山})
(:Artwork {name: 《寿比南山》}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 红、黄、绿、白})
(:Artwork {name: 《寿比南山》}),[:USES_COMPOSITION],(:Composition {name: 中心对称，人物居中，祥云环绕})
(:Artwork {name: 《寿比南山》}),[:DEPICTS],(:Figure {name: 童子})
(:Artwork {name: 《寿比南山》}),[:CONTAINS],(:Object {name: 鹿})
(:Artwork {name: 《寿比南山》}),[:CONTAINS],(:Object {name: 拐杖})
(:Figure {name: 寿星}),[:IS_A],(:FigureAttribute {name: 神仙})
(:Figure {name: 寿星}),[:HAS_FEATURE],(:Feature {name: 额头高大，面带微笑})
(:Figure {name: 寿星}),[:WEARS],(:Costume {name: 红色长袍，蓝色边饰})
(:Figure {name: 寿星}),[:HAS_POSE],(:Pose {name: 端坐于祥云之上})
(:Figure {name: 童子}),[:IS_A],(:FigureAttribute {name: 孩童})
(:Figure {name: 童子}),[:HAS_FEATURE],(:Feature {name: 天真可爱，面带笑容})
(:Figure {name: 童子}),[:WEARS],(:Costume {name: 白色长衫，绿色腰带})
(:Figure {name: 童子}),[:HAS_POSE],(:Pose {name: 站立于寿星身旁，手持拐杖})
(:Figure {name: 童子}),[:HOLDS],(:Object {name: 拐杖})
(:Object {name: 鹿}),[:HAS_MATERIAL],(:Material {name: 未识别到})
(:Object {name: 鹿}),[:HAS_PROPERTY],(:Property {name: 站在寿星旁边，象征长寿})
(:Object {name: 拐杖}),[:HAS_MATERIAL],(:Material {name: 木质})
(:Object {name: 拐杖}),[:HAS_PROPERTY],(:Property {name: 顶端有装饰，童子手持})
(:Artwork {name: 《门神》（钟馗）}),[:HAS_THEME],(:Theme {name: 驱邪避灾})
(:Artwork {name: 《门神》（钟馗）}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 红色、黑色、黄色})
(:Artwork {name: 《门神》（钟馗）}),[:USES_COMPOSITION],(:Composition {name: 中心对称，人物居中，动作夸张})
(:Artwork {name: 《门神》（钟馗）}),[:DEPICTS],(:Figure {name: 钟馗})
(:Figure {name: 钟馗}),[:IS_A],(:FigureAttribute {name: 神话人物、捉鬼驱邪})
(:Figure {name: 钟馗}),[:HAS_FEATURE],(:Feature {name: 红脸、浓眉、怒目圆睁、胡须浓密})
(:Figure {name: 钟馗}),[:WEARS],(:Costume {name: 红色长袍、金色装饰、黑色靴子})
(:Figure {name: 钟馗}),[:HAS_POSE],(:Pose {name: 右手持剑，左手掐诀，脚步坚定})
(:Artwork {name: 《门神》（钟馗）}),[:CONTAINS],(:Object {name: 宝剑})
(:Figure {name: 钟馗}),[:HOLDS],(:Object {name: 宝剑})
(:Object {name: 宝剑}),[:HAS_MATERIAL],(:Material {name: 金属})
(:Object {name: 宝剑}),[:HAS_PROPERTY],(:Property {name: 锋利、带有装饰})
(:Artwork {name: 《门神》}),[:HAS_THEME],(:Theme {name: 门神})
(:Artwork {name: 《门神》}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 红色})
(:Artwork {name: 《门神》}),[:USES_COMPOSITION],(:Composition {name: 对称布局})
(:Artwork {name: 《门神》}),[:DEPICTS],(:Figure {name: 红脸门神})
(:Artwork {name: 《门神》}),[:DEPICTS],(:Figure {name: 白脸门神})
(:Figure {name: 红脸门神}),[:IS_A],(:FigureAttribute {name: 守护神})
(:Figure {name: 红脸门神}),[:HAS_FEATURE],(:Feature {name: 红脸、浓眉、怒目圆睁})
(:Figure {name: 红脸门神}),[:WEARS],(:Costume {name: 盔甲、披风})
(:Figure {name: 红脸门神}),[:HAS_POSE],(:Pose {name: 手持武器，站立姿态})
(:Figure {name: 白脸门神}),[:IS_A],(:FigureAttribute {name: 守护神})
(:Figure {name: 白脸门神}),[:HAS_FEATURE],(:Feature {name: 白脸、长须、目光炯炯})
(:Figure {name: 白脸门神}),[:WEARS],(:Costume {name: 盔甲、披风})
(:Figure {name: 白脸门神}),[:HAS_POSE],(:Pose {name: 手持武器，站立姿态})
(:Figure {name: 红脸门神}),[:HOLDS],(:Object {name: 长矛})
(:Figure {name: 白脸门神}),[:HOLDS],(:Object {name: 弓箭})
(:Object {name: 长矛}),[:HAS_MATERIAL],(:Material {name: 金属和木头})
(:Object {name: 长矛}),[:HAS_PROPERTY],(:Property {name: 尖锐、长柄})
(:Object {name: 弓箭}),[:HAS_MATERIAL],(:Material {name: 竹木和金属})
(:Object {name: 弓箭}),[:HAS_PROPERTY],(:Property {name: 弯曲的弓身、锋利的箭头})
(:Artwork {name: 《观音》}),[:HAS_THEME],(:Theme {name: 观音送子})
(:Artwork {name: 《观音》}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 红、绿、蓝、白})
(:Artwork {name: 《观音》}),[:USES_COMPOSITION],(:Composition {name: 中心对称，层次分明})
(:Artwork {name: 《观音》}),[:DEPICTS],(:Figure {name: 观音菩萨})
(:Artwork {name: 《观音》}),[:DEPICTS],(:Figure {name: 童子（左侧）})
(:Artwork {name: 《观音》}),[:DEPICTS],(:Figure {name: 童子（右侧）})
(:Artwork {name: 《观音》}),[:DEPICTS],(:Figure {name: 天王})
(:Artwork {name: 《观音》}),[:CONTAINS],(:Object {name: 莲花座})
(:Artwork {name: 《观音》}),[:CONTAINS],(:Object {name: 宝瓶})
(:Figure {name: 观音菩萨}),[:IS_A],(:FigureAttribute {name: 佛教神祇})
(:Figure {name: 观音菩萨}),[:HAS_FEATURE],(:Feature {name: 头戴宝冠，面相慈祥})
(:Figure {name: 观音菩萨}),[:WEARS],(:Costume {name: 白色长袍，外披袈裟})
